Company Code,Division Code,Branch Location Code,Branch Location Name,Activity Code,Data Source,Region,Common Location,Branch Location Info
5,P3A,W       ,PUNE BRANCH,null,02-Movex  ,null,null,W-PUNE BRANCH
5,P3A,Y       ,CHANDIGARH,null,02-Movex  ,null,null,Y-CHANDIGARH
5,P3A,FA0453  ,SPX FLOW TECHNOLOGY DANMARK A/S,null,02-Movex  ,null,null,FA0453-SPX FLOW TECHNOLOGY DANMARK A/S
5,P3A,SA3461  ,PARADIGM PLUS MARKETING COMM PVT LTD,null,02-Movex  ,null,null,SA3461-PARADIGM PLUS MARKETING COMM PVT LTD
5,P3A,SA3462  ,PRESSMAN ADVERTISING LTD,null,02-Movex  ,null,null,SA3462-PRESSMAN ADVERTISING LTD
5,P3A,SA3463  ,COTTON SQUARE,null,02-Movex  ,null,null,SA3463-COTTON SQUARE
5,P3A,SA3464  ,SHALILENDRA R KULKARNI,null,02-Movex  ,null,null,SA3464-SHALILENDRA R KULKARNI
5,P3A,1757929 ,ETA ENGINEERING PVT. LTD.,null,02-Movex  ,null,null,1757929-ETA ENGINEERING PVT. LTD.
5,P3A,1763632 ,SHREE KESHAV HEAT TREATERS,null,02-Movex  ,null,null,1763632-SHREE KESHAV HEAT TREATERS
5,P3A,1763759 ,BHOPAL GLUES & CHEMICALS P. LTD.,null,02-Movex  ,null,null,1763759-BHOPAL GLUES & CHEMICALS P. LTD.
5,P3A,1763761 ,M. ISMAIL RAHMANI COLD & ALLAIED INDUSTR,null,02-Movex  ,null,null,1763761-M. ISMAIL RAHMANI COLD & ALLAIED INDUSTR
5,P3A,1763793 ,HYDROTECH INDUSTRIES,null,02-Movex  ,null,null,1763793-HYDROTECH INDUSTRIES
5,P3A,1763797 ,SUVIDHA ENGINEERS INDIA PVT. LTD.,null,02-Movex  ,null,null,1763797-SUVIDHA ENGINEERS INDIA PVT. LTD.
5,P3A,1763854 ,THE HIND MATCHES PRIVATE LIMITED,null,02-Movex  ,null,null,1763854-THE HIND MATCHES PRIVATE LIMITED
5,P3A,1763933 ,THE KCP LIMITED,null,02-Movex  ,null,null,1763933-THE KCP LIMITED
5,P3A,1763936 ,ADS  SPIRITS  PVT. LTD.,null,02-Movex  ,null,null,1763936-ADS  SPIRITS  PVT. LTD.
5,P3A,1763970 ,JAIN IRRIGATION SYSTEMS LTD.,null,02-Movex  ,null,null,1763970-JAIN IRRIGATION SYSTEMS LTD.
5,P3A,1763976 ,ESSAR PROJECTS IND. LTD.,null,02-Movex  ,null,null,1763976-ESSAR PROJECTS IND. LTD.
5,P3A,1764141 ,FINETECH ENGINEERING SERVICES,null,02-Movex  ,null,null,1764141-FINETECH ENGINEERING SERVICES
5,P3A,1764146 ,VISHWAKARMA AUTOMOTIVE PVT. LTD.,null,02-Movex  ,null,null,1764146-VISHWAKARMA AUTOMOTIVE PVT. LTD.
5,P3A,SA3950  ,META TECH PORTABLE CABIN,null,02-Movex  ,null,null,SA3950-META TECH PORTABLE CABIN
5,P3A,SA3951  ,KRISHNA PROFILE INDUSTRIES,null,02-Movex  ,null,null,SA3951-KRISHNA PROFILE INDUSTRIES
5,P3A,SA3952  ,JACK AND MASTERS,null,02-Movex  ,null,null,SA3952-JACK AND MASTERS
5,P3A,FA0498  ,VENAIR (SHANGHAI) TR CO LTD,null,02-Movex  ,null,null,FA0498-VENAIR (SHANGHAI) TR CO LTD
5,P3A,G       ,GLOBAL PORT,null,02-Movex  ,null,null,G-GLOBAL PORT
5,P3A,1823632 ,YSM BIOTECH INTERNATIONAL,null,02-Movex  ,null,null,1823632-YSM BIOTECH INTERNATIONAL
5,P3A,1745076 ,CHHATISGARH DISTILLERIES LIMITED,null,02-Movex  ,null,null,1745076-CHHATISGARH DISTILLERIES LIMITED
5,P3A,1823682 ,SKYWAY INFRA PROJECTS PVT. LTD.,null,02-Movex  ,null,null,1823682-SKYWAY INFRA PROJECTS PVT. LTD.
5,P3A,1815453 ,CHAKKACHERIL RUBBERS PVT LTD,null,02-Movex  ,null,null,1815453-CHAKKACHERIL RUBBERS PVT LTD
5,P3A,1823795 ,Precise Technologies,null,02-Movex  ,null,null,1823795-Precise Technologies
5,P3A,1823827 ,ATLAS COPCO (INDIA) LTD,null,02-Movex  ,null,null,1823827-ATLAS COPCO (INDIA) LTD
5,P3A,1823861 ,VOLTAS LIMITED,null,02-Movex  ,null,null,1823861-VOLTAS LIMITED
5,P3A,1823862 ,TULIP TECHNOLOGIES (PVT) LTD,null,02-Movex  ,null,null,1823862-TULIP TECHNOLOGIES (PVT) LTD
5,P3A,1778241 ,SAF YEAST COMPANY PVT LTD,null,02-Movex  ,null,null,1778241-SAF YEAST COMPANY PVT LTD
5,P3A,1824926 ,MAGNUS POWER PRIVATE LIMITED,null,02-Movex  ,null,null,1824926-MAGNUS POWER PRIVATE LIMITED
5,P3A,SA5946  ,BOMBAY CROCKERY HOUSE,null,02-Movex  ,null,null,SA5946-BOMBAY CROCKERY HOUSE
5,P3A,SA5948  ,VANYA PASHUPAKSHI SANRKASHAN SAMAJIK,null,02-Movex  ,null,null,SA5948-VANYA PASHUPAKSHI SANRKASHAN SAMAJIK
5,P3A,SA5949  ,VARAD COMPUTER'S,null,02-Movex  ,null,null,SA5949-VARAD COMPUTER'S
5,P3A,SA5950  ,EXPRESS CLINICS PRIVATE LIMITED PUNE,null,02-Movex  ,null,null,SA5950-EXPRESS CLINICS PRIVATE LIMITED PUNE
5,P3A,SA5951  ,A S CORP,null,02-Movex  ,null,null,SA5951-A S CORP
5,P3A,SA5952  ,HNI OFFICE INDIA LTD,null,02-Movex  ,null,null,SA5952-HNI OFFICE INDIA LTD
5,P3A,SA5947  ,SPS CLEARING AGENCY,null,02-Movex  ,null,null,SA5947-SPS CLEARING AGENCY
5,P3A,SA5953  ,GATI LIMITED,null,02-Movex  ,null,null,SA5953-GATI LIMITED
5,P3A,GD      ,GLOBAL DEVLOPMENT,null,02-Movex  ,null,null,GD-GLOBAL DEVLOPMENT
5,P3A,GT      ,GLOBAL IT,null,02-Movex  ,null,null,GT-GLOBAL IT
5,P3A,KD      ,KUNDLI,null,02-Movex  ,null,null,KD-KUNDLI
5,P3A,BD      ,BANGLADESH,null,02-Movex  ,null,null,BD-BANGLADESH
