Co Code,Bus Entity,Profit Centre,Project Code,Project,Project Region Old,SegForSegReprt_SEGMENT,Division,Post Code,City,District,Postal Area,Street,Project Type,CompanyGroup,Company Group_Old,Profit Center Name,Profit Center Long Name,Profit Center Short Name,Profit Center Source,Project Region,Region Code,Inventory Status,Company Group,Company,FLAG1,FLAG2,FLAG3
3000,WTGLM1,SVWTGLA01,Talegaon,La Montana,West,R110,Affortable Homes,411001,Pune,Pune,,"MIDC Gate Chowk, Talegaon",Residential,TV,Tata Value Homes,"La Montana, Tale Ph1","La Montana, Talegaon Phase 1","LA MONTANA, TALE PH1",SAP,West,W,COMPLETED,Tata Value Homes,Tata Value Homes Limited,,X,
3000,WTGLM1,SVWTGLA02,Talegaon,La Montana,West,R110,Affortable Homes,411001,Pune,Pune,,"MIDC Gate Chowk, Talegaon",Residential,TV,Tata Value Homes,"La Montana, Tale Ph2","La Montana, Talegaon Phase 2","LA MONTANA, TALE PH2",SAP,West,W,COMPLETED,Tata Value Homes,Tata Value Homes Limited,,X,
3000,WTGLM1,TVWTGLA03,Talegaon,La Montana,West,R110,Affortable Homes,411001,Pune,Pune,,"MIDC Gate Chowk, Talegaon",Residential,TV,Tata Value Homes,"La Montana, Tale Ph3","La Montana, Talegaon Phase 3","LA MONTANA, TALE PH3",SAP,West,W,COMPLETED,Tata Value Homes,Tata Value Homes Limited,,X,
1000,ERHEC1,THEKLEA01,Kolk Eden,Eden Court,East,R110,Affortable Homes,700156,Kolkata,North 24 Parganas,,"New Town, Rajarhat,",Residential,TH,Tata Housing,Kolk Eden Aff PH1,Kolkata Eden Court Affordable PH1,KOLK EDEN AFF PH1,SAP,East,E,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,SBGAH1,THSBGA000,Aquila,Aquila Heights,South,ROSI,Regional Office South India,560053,Bangalore,Bangalore,,"Hubli, Bangalore North Taluk,",Residential,TH,Tata Housing,Banglr Aqul Com Proj,Bangalore Aquila Heights - Common Projec,BANGLR AQUL COM PROJ,SAP,South,S,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,SBGAH1,THSBGAH01,Aquila,Aquila Heights,South,R120,Premium Homes,560053,Bangalore,Bangalore,,"Hubli, Bangalore North Taluk,",Residential,TH,Tata Housing,Banglr Aquila PH1,Bangalore Aquila Heights PH1,BANGLR AQUILA PH1,SAP,South,S,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,SBGAH1,THSBGAH02,Aquila,Aquila Heights,South,R120,Premium Homes,560053,Bangalore,Bangalore,,"Hubli, Bangalore North Taluk,",Residential,TH,Tata Housing,Banglr Aquila PH2,Bangalore Aquila Heights  PH2,BANGLR AQUILA PH2,SAP,South,S,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1120,SBSPM1,PHSBSPL01,Promont Bn,The Promont,South,R130,Luxury Homes,560013,Bangalore,Bangalore,,"Hosakerehalli Village,Banashankari",Residential,TH,Tata Housing,"The Promont,BS  LX 1","The Promont, Banashankari(Luxury)Ph1","THE PROMONT,BS  LX 1",SAP,South,S,COMPLETED,Tata Housing,Promont Hilltop Pvt Ltd,,X,
1120,SBSPM1,PHSBSPL02,Promont Bn,The Promont,South,R130,Luxury Homes,560013,Bangalore,Bangalore,,"Hosakerehalli Village,Banashankari",Residential,TH,Tata Housing,"The Promont,BS CS.","The Promont, BS (The Cascades) Ph2","THE PROMONT,BS CS.",SAP,South,S,COMPLETED,Tata Housing,Promont Hilltop Pvt Ltd,,X,
1000,WKYAM1,THWKYAA01,"Amantra,Kl",Amantra,West,R110,Affortable Homes,401404,Mumbai,Thane,THANE,Village Ranjanoli,Residential,TH,Tata Housing,"Amantra, Klyn(Sal)P1","Amantra, Kalyan (Sales) PH1","AMANTRA, KLYN(SAL)P1",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,WKYAM1,THWKYAA02,"Amantra,Kl",Amantra,West,R110,Affortable Homes,401404,Mumbai,Thane,THANE,Village Ranjanoli,Residential,TH,Tata Housing,"Amantra, Klyn(Sal)P2","Amantra, Kalyan (Sales) PH2","AMANTRA, KLYN(SAL)P2",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,WKYAM1,THWKYAR01,"Amantra,Kl",Amantra,West,C100,Retail / Shopping,401404,Mumbai,Thane,THANE,Village Ranjanoli,Residential,TH,Tata Housing,"Amantra,Klyn(Retail)","Amantra, Kalyan (Retai)","AMANTRA,KLYN(RETAIL)",SAP,West,W,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,ERHEC3,THEKLER01,Kolk Eden,Eden Court,East,C100,Retail / Shopping,700156,Kolkata,North 24 Parganas,700156,"New Town, Rajarhat",Residential,TH,Tata Housing,Kolk Eden Retl PH1,Kolkata Eden Court Retail PH1,KOLK EDEN RETL PH1,SAP,East,E,COMPLETED,Tata Housing,Tata Housing Dev Co. Ltd,,X,
3010,WAHSG1,ASWAHSG01,Arvind LLP,NH Compact,West,R100,Value Homes,382721,Ahmedabad,Gandhinagar,,Vadsar-Kalol Road,Residential,TV,Tata Value Homes,"SG, Ahmedabad PH1",Ahmedabad  Shubh Griha Ph1,"SG, AHMEDABAD PH1",SAP,West,W,COMPLETED,Tata Value Homes,Arvind & Smart Value Home,,,
3010,WAHNHC,ASWAHNC01,Arvind LLP,NH Compact,West,R110,Affortable Homes,382721,Ahmedabad,Gandhinagar,,Vadsar-Kalol Road,Residential,TV,Tata Value Homes,Ahbad NH Compact -C1,Ahmedabad New Haven -Compact (Cluster1),AHBAD NH COMPACT -C1,SAP,West,W,COMPLETED,Tata Value Homes,Arvind & Smart Value Home,,,
1010,IMLGA1,ARIMLGA01,Apex,"Nadhee, Odeon – 2",International,R110,Affortable Homes,135,Male,Male,,"Block-135, Ameenee Magu",Residential,TH,Tata Housing,Maldives Gaakoshi P1,Maldives Gaakoshi Phase 1,MALDIVES GAAKOSHI P1,SAP,International,I,NOINVSTATUS,Tata Housing,APEX Realty Pvt. Ltd.,,,
1010,IFMOD1,ARIMLOP01,Apex,"Nadhee, Odeon – 2",International,R120,Premium Homes,20263,Male,Male,,"Block-263, Fandiyaaru Magu",Residential,TH,Tata Housing,Maldives Odeon,Maldives Odeon,MALDIVES ODEON,SAP,International,I,NOINVSTATUS,Tata Housing,APEX Realty Pvt. Ltd.,,,
1080,EBSARI,KREBSAP01,Ariana Kri,Ariana,East,R120,Premium Homes,751010,Bhubaneswar,Khurda,,Shankarpur Mouza,Residential,TH,Tata Housing,Ariana Premium Ph 1,Ariana Premium Ph 1,ARIANA PREMIUM PH 1,SAP,East,E,COMPLETED,Tata Housing,Kriday Realty Private Ltd,,,
1080,EBSARI,KREBSAP02,Ariana Kri,Ariana,East,R120,Premium Homes,751010,Bhubaneswar,Khurda,,Shankarpur Mouza,Residential,TH,Tata Housing,Ariana Premium Ph 2,Ariana Premium Ph 2,ARIANA PREMIUM PH 2,SAP,East,E,COMPLETED,Tata Housing,Kriday Realty Private Ltd,,,
3020,SBERI1,SPSPYRS01,Peenya,NH Peenya,South,R150,Senior Living,562123,Bengaluru,Bangalore North Taluk,,Dasanapura Hobli,Residential,TV,Tata Value Homes,SVH-Peenya -Riva ph1,SVH- Peenya - Riva phase 1,SVH-PEENYA -RIVA PH1,SAP,South,S,COMPLETED,Tata Value Homes,SVH (Peenya Project) PL,,,
3020,SBERI1,SPSPYRS02,Peenya,NH Peenya,South,R150,Senior Living,562123,Bengaluru,Bangalore North Taluk,,Dasanapura Hobli,Residential,TV,Tata Value Homes,SVH-Peenya -Riva ph2,SVH- Peenya - Riva phase 2,SVH-PEENYA -RIVA PH2,SAP,South,S,COMPLETED,Tata Value Homes,SVH (Peenya Project) PL,,,
3020,SBENH1,SPSPYNA01,Peenya,NH Peenya,South,R110,Affortable Homes,562123,Bengaluru,Bangalore North Taluk,,Dasanapura Hobli,Residential,TV,Tata Value Homes,SVH- Peenya - NH ph1,SVH- Peenya - NH phase 1,SVH- PEENYA - NH PH1,SAP,South,S,COMPLETED,Tata Value Homes,SVH (Peenya Project) PL,,,
3020,SBENH1,SPSPYNA02,Peenya,NH Peenya,South,R110,Affortable Homes,562123,Bengaluru,Bangalore North Taluk,,Dasanapura Hobli,Residential,TV,Tata Value Homes,SVH- Peenya - NH ph2,SVH- Peenya - NH phase 2,SVH- PEENYA - NH PH2,SAP,South,S,COMPLETED,Tata Value Homes,SVH (Peenya Project) PL,,,
1090,NSOMY1,PINKSML01,"Kausouli,",Myst,North,R130,Luxury Homes,173206,Solan,Solan,KASAULI,"Kalth, Tehsil Kasauli",Residential,TH,Tata Housing,Kasauli Myst Lux.Ph1,Kasauli Myst Luxury Ph1,KASAULI MYST LUX.PH1,SAP,North,N,ONGOING,Tata Housing,Princeton Infra Pvt. Ltd.,,,
1090,NKSML2,PINKSML02,"Kausouli,",Myst,North,R130,Luxury Homes,173206,Solan,Solan,KASAULI,"Kalth, Tehsil Kasauli",Residential,TH,Tata Housing,Kasauli Myst Lux.Ph2,Kasauli Myst Luxury Ph2,KASAULI MYST LUX.PH2,SAP,North,N,ONGOING,Tata Housing,Princeton Infra Pvt. Ltd.,,,
1100,NGGGG1,LTNGGGP01,Gurgaon Ga,Gurgaon Gateway,North,R120,Premium Homes,122017,Gurgaon,Gurgaon,GURGAON,"Village Bajghera, Sector 112",Residential,TH,Tata Housing,LT-GG.Gateway Prem.1,Lemon Tree -Gurgaon Gateway-Premium Ph1,LT-GG.GATEWAY PREM.1,SAP,North,N,COMPLETED,Tata Housing,Gatevida Developers P Ltd,,X,
1000,WMDAP1,THWMDAP01,Mulund,Aveza,West,R120,Premium Homes,400081,Mumbai,Mumbai,,"Mhada Colony, Mulund",Residential,TH,Tata Housing,"Aveza,Mulund Prem. 1","Aveza, Mulund Premium Ph1","AVEZA,MULUND PREM. 1",SAP,West,W,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,,
1000,WMDAP1,THWMDAP02,Mulund,Aveza,West,R120,Premium Homes,400081,Mumbai,Mumbai,,"Mhada Colony, Mulund",Residential,TH,Tata Housing,"Aveza,Mulund Prem. 2","Aveza, Mulund Premium Ph2","AVEZA,MULUND PREM. 2",SAP,West,W,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,,
3000,SKUSA1,TVSKUST01,Kutahmbakk,Santorini,South,R110,Affortable Homes,602103,Chennai,Thiruvallur,,"Irulapalayam Road, Off NH4",Residential,TV,Tata Value Homes,Santorini  Kuthu.Ph1,Santorini  Kuthumbakkam - Ph1,SANTORINI  KUTHU.PH1,SAP,South,S,ONGOING,Tata Value Homes,Tata Value Homes Limited,,,
1000,ERJAP1,THEKLAP01,Avenida,Avenida,East,R120,Premium Homes,700156,Kolkata,Kolkata,,"Rajarhat II, Kolkata",Residential,TH,Tata Housing,R-Avenida Premium.P1,Rajarhat - Avenida Premium ph1,R-AVENIDA PREMIUM.P1,SAP,East,E,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,ERJAP1,THEKLAP02,Avenida,Avenida,East,R120,Premium Homes,700156,Kolkata,Kolkata,,"Rajarhat II, Kolkata",Residential,TH,Tata Housing,R-Avenida Premium.P2,Rajarhat - Avenida Premium ph2,R-AVENIDA PREMIUM.P2,SAP,East,E,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
1000,ERJAP1,THEKLAP03,Avenida,Avenida,East,R120,Premium Homes,700156,Kolkata,Kolkata,,"Rajarhat II, Kolkata",Residential,TH,Tata Housing,R-Avenida Premium.P3,Rajarhat - Avenida Premium ph3,R-AVENIDA PREMIUM.P3,SAP,East,E,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
